Obs,monthYear,AveragePrice,NumMonthYear,NumMonth
1,201108,5850000,201108,1
2,201109,6007329.539,201109,2
3,201110,5808421.732,201110,3
4,201111,6115835.405,201111,4
5,201112,5824305.632,201112,5
6,201201,6884006.047,201201,6
7,201202,6807455.648,201202,7
8,201203,6765833.516,201203,8
9,201204,6800688.857,201204,9
10,201205,7226219.168,201205,10
11,201206,7134100.538,201206,11
12,201207,6311195.105,201207,12
13,201208,6163621.143,201208,13
14,201209,6401641.569,201209,14
15,201210,5765551.314,201210,15
16,201211,5749249.816,201211,16
17,201212,5555278.929,201212,17
18,201301,6394839.515,201301,18
19,201302,6238731.751,201302,19
20,201303,6598499.683,201303,20
21,201304,6483315.732,201304,21
22,201305,6084855.827,201305,22
23,201306,6671305.712,201306,23
24,201307,6859089.633,201307,24
25,201308,6745126.188,201308,25
26,201309,6915920.966,201309,26
27,201310,6796974.685,201310,27
28,201311,6865680.152,201311,28
29,201312,7091311.357,201312,29
30,201401,7009666.677,201401,30
31,201402,7055481.958,201402,31
32,201403,7406163.012,201403,32
33,201404,7652901.738,201404,33
34,201405,7673679.937,201405,34
35,201406,7197790.124,201406,35
36,201407,7379789.311,201407,36
37,201408,7757281.49,201408,37
38,201409,7939374.189,201409,38
39,201410,7362445.002,201410,39
40,201411,7353146.447,201411,40
41,201412,7791450.304,201412,41
42,201501,8433105.882,201501,42
43,201502,8100162.334,201502,43
44,201503,8744711.112,201503,44
45,201504,8135955.765,201504,45
46,201505,8275678.495,201505,46
47,201506,8201517.612,201506,47
